"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Routt,"1,721,541","1,805,743","1,715,331","1,858,714",18,4.9,-5.0,8.4,15
Saguache,"184,287","209,574","199,000","203,696",49,13.7,-5.0,2.4,44
San Juan,"32,374","33,508","53,590","35,570",63,3.5,59.9,-33.6,64
San Miguel,"572,115","591,664","559,196","625,711",34,3.4,-5.5,11.9,8
Sedgwick,"74,292","79,181","80,090","84,017",60,6.6,1.1,4.9,33
Summit,"2,296,921","2,405,964","2,277,648","2,463,720",16,4.7,-5.3,8.2,17
Teller,"880,900","916,676","904,579","918,704",26,4.1,-1.3,1.6,45
Washington,"156,798","165,602","145,377","194,032",51,5.6,-12.2,33.5,3
Weld,"23,082,148","24,309,629","22,715,588","21,188,168",7,5.3,-6.6,-6.7,56
Yuma,"514,230","555,031","563,850","509,579",40,7.9,1.6,-9.6,61
,,,,,,,,,
Connecticut,"249,074,784","251,568,222","235,234,916","246,555,860",--,1.0,-6.5,4.8,--
Fairfield,"81,862,266","82,355,020","75,388,851","79,181,882",1,0.6,-8.5,5.0,3
Hartford,"78,259,308","78,828,847","73,240,695","76,805,736",2,0.7,-7.1,4.9,5
Litchfield,"7,364,556","7,592,068","7,245,828","7,602,452",6,3.1,-4.6,4.9,4
Middlesex,"8,745,575","8,893,489","8,246,724","8,746,136",5,1.7,-7.3,6.1,1
New Haven,"46,235,728","46,950,985","45,728,236","47,714,962",3,1.5,-2.6,4.3,7
New London,"17,439,005","17,521,571","16,142,819","17,008,630",4,0.5,-7.9,5.4,2
Tolland,"4,839,243","4,953,449","4,887,151","5,105,519",7,2.4,-1.3,4.5,6
Windham,"4,385,625","4,530,820","4,434,803","4,471,224",8,3.3,-2.1,0.8,8
,,,,,,,,,
Delaware,"61,425,115","64,143,516","62,281,752","64,404,718",--,4.4,-2.9,3.4,--
Kent,"7,120,989","7,671,807","7,667,664","8,129,576",3,7.7,-0.1,6.0,1
New Castle,"43,054,577","44,399,936","42,912,553","43,989,132",1,3.1,-3.3,2.5,3
Sussex,"11,294,276","12,145,001","11,782,526","12,382,966",2,7.5,-3.0,5.1,2
,,,,,,,,,
District of Columbia,"123,680,510","124,597,225","122,485,263","126,982,976",--,0.7,-1.7,3.7,--
,,,,,,,,,
Florida,"941,626,696","965,672,478","950,164,387","1,029,575,591",--,2.6,-1.6,8.4,--
Alachua,"12,277,166","12,553,649","12,770,647","13,560,730",19,2.3,1.7,6.2,40
Baker,"594,184","591,888","619,107","649,941",50,-0.4,4.6,5.0,48
Bay,"7,624,825","7,712,710","7,763,534","8,291,985",26,1.2,0.7,6.8,32
Bradford,"644,921","600,280","615,193","627,864",53,-6.9,2.5,2.1,55
Brevard,"23,561,046","24,351,667","24,460,136","26,063,192",10,3.4,0.4,6.6,35
Broward,"96,382,131","98,993,230","96,502,129","104,922,673",2,2.7,-2.5,8.7,18
Calhoun,"225,233","225,907","233,196","261,426",65,0.3,3.2,12.1,4
Charlotte,"4,922,510","5,112,262","5,200,549","5,606,798",29,3.9,1.7,7.8,21
Citrus,"3,522,320","3,852,548","3,857,040","4,151,554",35,9.4,0.1,7.6,22
Clay,"4,907,165","5,010,927","4,971,221","5,190,345",30,2.1,-0.8,4.4,51
Collier,"17,600,542","17,848,807","17,733,542","19,298,525",13,1.4,-0.6,8.8,17
Columbia,"2,110,538","2,143,684","2,140,280","2,293,640",40,1.6,-0.2,7.2,28
DeSoto,"901,631","970,582","972,373","935,790",49,7.6,0.2,-3.8,66
Dixie,"283,560","278,109","290,041","300,476",62,-1.9,4.3,3.6,52
Duval,"57,919,127","60,182,421","60,372,587","64,216,389",6,3.9,0.3,6.4,37
Escambia,"14,040,269","14,291,537","14,188,530","15,075,160",15,1.8,-0.7,6.2,39
Flagler,"2,475,220","2,587,416","2,681,688","2,932,538",37,4.5,3.6,9.4,15
Franklin,"335,385","342,471","344,781","364,137",60,2.1,0.7,5.6,43
Gadsden,"1,171,832","1,168,451","1,223,317","1,193,546",46,-0.3,4.7,-2.4,63
Gilchrist,"334,464","338,046","379,978","371,967",59,1.1,12.4,-2.1,61
Glades,"286,047","352,803","359,049","347,556",61,23.3,1.8,-3.2,65
Gulf,"370,280","378,761","400,669","428,090",55,2.3,5.8,6.8,31
Hamilton,"441,503","451,415","417,631","418,119",56,2.2,-7.5,0.1,59
Hardee,"950,032","942,725","945,371","992,754",48,-0.8,0.3,5.0,47
Hendry,"1,239,506","1,309,998","1,413,402","1,313,038",43,5.7,7.9,-7.1,67
Hernando,"3,898,798","3,946,336","3,996,594","4,298,015",34,1.2,1.3,7.5,23
Highlands,"2,272,300","2,416,158","2,393,429","2,428,533",39,6.3,-0.9,1.5,57
Hillsborough,"81,390,287","84,682,484","84,655,244","91,387,771",4,4.0,0.0,8.0,20
Holmes,"319,653","369,586","364,999","389,389",58,15.6,-1.2,6.7,33
Indian River,"6,019,494","6,232,940","6,202,152","6,557,964",28,3.5,-0.5,5.7,42
Jackson,"1,225,425","1,235,697","1,226,031","1,280,330",44,0.8,-0.8,4.4,50
Jefferson,"265,576","269,934","270,015","299,829",63,1.6,0.0,11.0,7
Lafayette,"164,638","140,302","141,427","159,324",67,-14.8,0.8,12.7,2
Lake,"8,998,146","9,234,630","9,526,937","10,123,924",24,2.6,3.2,6.3,38
Lee,"29,154,745","29,515,140","29,571,443","32,191,829",8,1.2,0.2,8.9,16
Leon,"13,424,350","13,620,505","13,520,088","14,248,663",17,1.5,-0.7,5.4,46
Levy,"910,205","904,648","947,445","1,018,601",47,-0.6,4.7,7.5,24
Liberty,"203,075","203,371","223,443","227,372",66,0.1,9.9,1.8,56
Madison,"396,488","375,546","370,379","396,448",57,-5.3,-1.4,7.0,29
Manatee,"13,391,422","14,075,078","13,996,060","15,010,773",16,5.1,-0.6,7.2,27
Marion,"9,164,342","9,379,119","9,710,674","10,436,152",22,2.3,3.5,7.5,25
Martin,"7,022,341","7,107,044","7,042,345","7,470,991",27,1.2,-0.9,6.1,41
Miami-Dade,"147,376,627","147,738,069","138,380,886","151,903,098",1,0.2,-6.3,9.8,12
Monroe,"4,392,297","4,610,788","4,401,147","4,907,293",31,5.0,-4.5,11.5,6
Nassau,"2,404,367","2,553,264","2,582,899","2,753,719",38,6.2,1.2,6.6,34
Okaloosa,"10,548,352","11,079,351","11,250,265","12,082,625",20,5.0,1.5,7.4,26
Okeechobee,"1,156,102","1,544,315","1,662,306","1,669,033",42,33.6,7.6,0.4,58
Orange,"87,582,676","90,155,967","84,572,747","94,827,932",3,2.9,-6.2,12.1,3
Osceola,"9,458,853","10,069,374","9,975,672","11,025,087",21,6.5,-0.9,10.5,9
Palm Beach,"76,010,163","77,644,352","77,158,504","84,473,026",5,2.1,-0.6,9.5,13
Pasco,"11,711,463","12,203,580","12,571,482","13,832,157",18,4.2,3.0,10.0,11
Pinellas,"45,349,476","46,122,587","45,430,228","48,581,314",7,1.7,-1.5,6.9,30
Polk,"23,945,143","24,742,403","25,553,413","26,955,415",9,3.3,3.3,5.5,44
Putnam,"1,986,691","1,992,485","1,997,017","2,062,665",41,0.3,0.2,3.3,54
St. Johns,"8,438,549","8,840,635","9,143,905","10,133,714",23,4.8,3.4,10.8,8
St. Lucie,"8,680,392","8,713,138","8,929,473","9,228,856",25,0.4,2.5,3.4,53
Santa Rosa,"4,252,899","4,378,519","4,489,095","4,691,359",32,3.0,2.5,4.5,49
Sarasota,"19,176,696","19,548,917","19,593,757","21,447,674",12,1.9,0.2,9.5,14
Seminole,"19,941,398","20,645,711","20,541,140","22,286,451",11,3.5,-0.5,8.5,19
Sumter,"3,096,889","3,724,600","3,963,824","4,375,621",33,20.3,6.4,10.4,10
Suwannee,"1,235,545","1,136,668","1,109,667","1,237,570",45,-8.0,-2.4,11.5,5
Taylor,"685,675","653,474","651,220","632,987",52,-4.7,-0.3,-2.8,64
Union,"264,760","262,788","296,311","293,140",64,-0.7,12.8,-1.1,60
Volusia,"16,588,430","16,770,894","16,614,730","17,699,199",14,1.1,-0.9,6.5,36
Wakulla,"617,873","663,354","659,756","644,353",51,7.4,-0.5,-2.3,62
Walton,"2,792,716","3,005,056","3,058,590","3,460,959",36,7.6,1.8,13.2,1
Washington,"508,242","533,418","550,745","580,891",54,5.0,3.2,5.5,45
,,,,,,,,,
Georgia,"538,604,558","557,364,424","537,615,760","575,292,153",--,3.5,-3.5,7.0,--
Appling,"1,380,255","1,390,178","1,476,101","1,449,607",47,0.7,6.2,-1.8,127
Atkinson,"210,061","219,526","217,418","214,131",126,4.5,-1.0,-1.5,126
Bacon,"321,234","338,975","345,025","321,024",112,5.5,1.8,-7.0,148
Baker,"65,271","73,629","70,281","67,027",154,12.8,-4.5,-4.6,140
Baldwin,"1,174,537","1,236,074","1,177,931","1,245,149",54,5.2,-4.7,5.7,63
Banks,"415,597","398,048","355,935","407,681",100,-4.2,-10.6,14.5,2
Barrow,"1,965,164","2,009,161","2,049,388","2,198,748",37,2.2,2.0,7.3,37
Bartow,"4,498,411","4,514,254","4,443,774","4,751,466",20,0.4,-1.6,6.9,42
Ben Hill,"460,670","463,542","467,663","468,279",96,0.6,0.9,0.1,114
Berrien,"346,184","374,022","329,821","340,390",109,8.0,-11.8,3.2,88
Bibb,"7,635,575","7,542,771","7,260,375","7,611,295",11,-1.2,-3.7,4.8,70
Bleckley,"212,358","218,063","214,195","212,897",127,2.7,-1.8,-0.6,119
Brantley,"224,222","223,269","231,744","232,113",124,-0.4,3.8,0.2,112
Brooks,"296,756","371,596","452,124","462,472",97,25.2,21.7,2.3,96
Bryan,"907,062","934,029","952,250","1,049,356",58,3.0,2.0,10.2,13
Bulloch,"2,146,759","2,234,447","2,185,782","2,280,420",35,4.1,-2.2,4.3,75
Burke,"2,503,087","2,770,267","2,879,646","2,736,235",32,10.7,3.9,-5.0,142
Butts,"572,826","604,582","629,693","676,770",78,5.5,4.2,7.5,36
Calhoun,"108,163","117,206","122,924","105,246",148,8.4,4.9,-14.4,159
Camden,"1,700,070","1,678,693","1,637,467","1,709,991",42,-1.3,-2.5,4.4,72
Candler,"230,648","242,624","245,691","252,624",123,5.2,1.3,2.8,91
Carroll,"4,266,043","4,350,214","4,559,787","4,928,255",18,2.0,4.8,8.1,30
Catoosa,"1,322,466","1,367,892","1,352,066","1,419,287",49,3.4,-1.2,5.0,69
Charlton,"173,294","187,489","187,884","187,551",133,8.2,0.2,-0.2,117
Chatham,"16,451,335","17,134,732","16,159,802","17,759,786",5,4.2,-5.7,9.9,14
Chattahoochee,"1,433,862","1,455,321","1,464,217","1,513,138",45,1.5,0.6,3.3,86
Chattooga,"555,944","518,729","476,891","482,512",95,-6.7,-8.1,1.2,103
Cherokee,"6,932,239","7,324,342","7,251,269","7,429,347",12,5.7,-1.0,2.5,94
Clarke,"7,020,793","6,978,928","6,655,000","6,992,495",13,-0.6,-4.6,5.1,67
Clay,"76,330","83,143","90,676","84,067",153,8.9,9.1,-7.3,150
Clayton,"16,948,296","16,973,431","12,644,402","14,342,808",6,0.1,-25.5,13.4,5
Clinch,"216,099","227,348","239,014","211,911",128,5.2,5.1,-11.3,158
Cobb,"49,167,545","50,322,308","48,670,107","52,448,079",2,2.3,-3.3,7.8,33
Coffee,"1,368,711","1,420,495","1,374,173","1,443,886",48,3.8,-3.3,5.1,66
Colquitt,"1,311,668","1,326,073","1,354,940","1,341,785",50,1.1,2.2,-1.0,123
Columbia,"3,698,584","3,785,561","3,701,736","3,963,964",24,2.4,-2.2,7.1,40
Cook,"337,904","339,135","327,324","346,291",107,0.4,-3.5,5.8,61
Coweta,"4,134,921","4,452,559","4,448,167","4,805,398",19,7.7,-0.1,8.0,31
Crawford,"154,668","147,442","137,173","146,434",138,-4.7,-7.0,6.8,46
Crisp,"749,886","810,540","784,161","795,574",73,8.1,-3.3,1.5,102
Dade,"367,654","382,745","371,304","401,695",102,4.1,-3.0,8.2,28
Dawson,"785,460","819,118","790,586","865,497",66,4.3,-3.5,9.5,15
Decatur,"713,673","730,227","757,069","768,370",74,2.3,3.7,1.5,100
DeKalb,"37,190,958","37,431,697","36,653,837","38,922,069",4,0.6,-2.1,6.2,54
Dodge,"374,370","400,590","383,152","382,681",103,7.0,-4.4,-0.1,116
Dooly,"365,193","378,658","356,995","332,890",111,3.7,-5.7,-6.8,147
Dougherty,"3,983,614","4,045,033","3,941,562","4,056,962",23,1.5,-2.6,2.9,90
Douglas,"4,143,768","4,288,519","4,159,992","4,444,954",22,3.5,-3.0,6.9,43
Early,"438,069","432,894","449,726","418,180",98,-1.2,3.9,-7.0,149
Echols,"37,048","39,525","39,969","39,411",156,6.7,1.1,-1.4,125
Effingham,"1,758,061","1,736,869","1,867,782","1,853,923",40,-1.2,7.5,-0.7,120
Elbert,"575,854","569,155","579,895","591,818",84,-1.2,1.9,2.1,98
Emanuel,"581,465","617,932","621,320","634,861",83,6.3,0.5,2.2,97
Evans,"354,173","339,125","329,452","319,747",113,-4.2,-2.9,-2.9,136
Fannin,"670,930","686,269","669,139","729,848",77,2.3,-2.5,9.1,20
Fayette,"4,654,160","4,831,733","4,717,499","5,049,262",17,3.8,-2.4,7.0,41
Floyd,"3,715,154","3,674,465","3,503,874","3,718,784",26,-1.1,-4.6,6.1,57
Forsyth,"9,097,390","9,468,870","9,361,967","10,072,797",9,4.1,-1.1,7.6,34
Franklin,"908,558","871,251","793,132","915,353",62,-4.1,-9.0,15.4,1
Fulton,"157,806,081","167,699,100","159,661,422","174,408,744",1,6.3,-4.8,9.2,19
Gilmer,"850,798","832,986","781,816","855,505",68,-2.1,-6.1,9.4,17
Glascock,"28,892","30,309","29,959","29,719",158,4.9,-1.2,-0.8,121
Glynn,"3,612,807","3,551,298","3,431,721","3,604,937",27,-1.7,-3.4,5.0,68
Gordon,"2,082,264","2,145,883","2,052,767","2,226,169",36,3.1,-4.3,8.4,25
Grady,"582,689","586,492","578,647","583,561",85,0.7,-1.3,0.8,105
Greene,"679,659","683,155","658,223","745,340",76,0.5,-3.6,13.2,6
Gwinnett,"44,496,951","45,779,816","44,795,029","47,636,908",3,2.9,-2.2,6.3,50
Habersham,"1,388,545","1,374,506","1,284,822","1,316,778",51,-1.0,-6.5,2.5,93
Hall,"9,748,640","10,114,583","10,102,911","10,987,617",8,3.8,-0.1,8.8,22
Hancock,"143,750","146,119","144,986","142,162",140,1.6,-0.8,-1.9,128
Haralson,"739,565","757,712","732,375","832,200",70,2.5,-3.3,13.6,4
Harris,"488,023","492,827","468,239","495,274",94,1.0,-5.0,5.8,62
Hart,"843,025","831,243","742,121","801,472",72,-1.4,-10.7,8.0,32
Heard,"1,071,083","1,142,593","1,112,213","1,102,381",57,6.7,-2.7,-0.9,122
Henry,"5,796,239","6,201,784","6,258,193","6,702,371",14,7.0,0.9,7.1,39
Houston,"6,154,846","6,376,159","6,283,696","6,517,036",15,3.6,-1.5,3.7,83
Irwin,"172,630","185,273","192,807","188,995",131,7.3,4.1,-2.0,129
Jackson,"2,854,976","2,936,841","3,190,843","3,549,219",28,2.9,8.6,11.2,12
Jasper,"246,410","260,207","256,030","269,252",119,5.6,-1.6,5.2,65
Jeff Davis,"345,179","376,003","371,787","362,783",106,8.9,-1.1,-2.4,133
Jefferson,"463,485","499,540","508,315","527,556",92,7.8,1.8,3.8,82
Jenkins,"134,130","148,532","153,657","144,459",139,10.7,3.5,-6.0,144
Johnson,"114,732","113,651","109,459","109,155",146,-0.9,-3.7,-0.3,118
Jones,"381,120","411,811","404,668","407,558",101,8.1,-1.7,0.7,106
Lamar,"362,451","378,445","395,394","409,886",99,4.4,4.5,3.7,84
Lanier,"111,061","112,898","112,342","107,641",147,1.7,-0.5,-4.2,139
Laurens,"1,585,242","1,593,211","1,581,208","1,648,226",43,0.5,-0.8,4.2,76
Lee,"599,390","653,689","679,055","664,314",80,9.1,3.9,-2.2,132
Liberty,"3,260,234","3,303,380","3,271,802","3,446,542",29,1.3,-1.0,5.3,64
Lincoln,"112,000","114,708","112,332","116,079",145,2.4,-2.1,3.3,87
Long,"162,021","159,595","154,222","161,036",135,-1.5,-3.4,4.4,73
Lowndes,"4,441,062","4,552,513","4,488,220","4,608,501",21,2.5,-1.4,2.7,92
Lumpkin,"717,421","780,835","772,816","825,137",71,8.8,-1.0,6.8,45
McDuffie,"558,880","598,661","619,473","639,123",81,7.1,3.5,3.2,89
McIntosh,"233,010","228,867","214,630","216,565",125,-1.8,-6.2,0.9,104
Macon,"421,969","403,324","377,395","379,708",105,-4.4,-6.4,0.6,107
Madison,"531,761","500,444","460,152","520,266",93,-5.9,-8.1,13.1,7
Marion,"104,746","100,055","101,372","98,223",151,-4.5,1.3,-3.1,137
Meriwether,"540,211","531,455","523,712","556,314",87,-1.6,-1.5,6.2,52
Miller,"177,727","186,135","209,534","190,666",130,4.7,12.6,-9.0,156
Mitchell,"676,816","715,409","731,626","667,935",79,5.7,2.3,-8.7,155
Monroe,"1,565,238","1,449,964","1,100,839","1,258,275",52,-7.4,-24.1,14.3,3
Montgomery,"141,074","143,363","128,123","120,290",143,1.6,-10.6,-6.1,145
Morgan,"724,924","806,552","800,659","902,142",64,11.3,-0.7,12.7,8
Murray,"1,140,451","1,152,501","1,129,604","1,256,594",53,1.1,-2.0,11.2,11
Muscogee,"9,298,289","9,509,253","9,448,994","9,674,011",10,2.3,-0.6,2.4,95
Newton,"2,645,179","2,735,436","2,672,148","2,682,411",33,3.4,-2.3,0.4,111
Oconee,"1,277,421","1,469,922","1,485,329","1,552,005",44,15.1,1.0,4.5,71
Oglethorpe,"340,253","309,720","274,319","308,455",114,-9.0,-11.4,12.4,9
Paulding,"2,610,305","2,790,141","2,816,316","3,083,159",31,6.9,0.9,9.5,16
Peach,"793,528","836,091","830,069","860,070",67,5.4,-0.7,3.6,85
Pickens,"931,141","932,519","895,961","951,082",60,0.1,-3.9,6.2,56
Pierce,"361,399","367,175","391,752","381,869",104,1.6,6.7,-2.5,134
Pike,"278,170","309,635","314,406","343,556",108,11.3,1.5,9.3,18
Polk,"1,081,105","1,156,090","1,056,555","1,149,302",56,6.9,-8.6,8.8,21
Pulaski,"280,701","275,545","260,187","270,415",118,-1.8,-5.6,3.9,79
Putnam,"470,029","500,909","496,076","529,927",91,6.6,-1.0,6.8,44
Quitman,"37,707","34,490","33,540","32,260",157,-8.5,-2.8,-3.8,138
Rabun,"470,975","513,125","503,162","534,464",90,8.9,-1.9,6.2,53
Randolph,"156,206","160,093","161,977","154,061",136,2.5,1.2,-4.9,141
Richmond,"10,967,563","11,023,594","10,693,252","11,127,651",7,0.5,-3.0,4.1,77
Rockdale,"3,509,099","3,499,199","3,568,782","3,863,974",25,-0.3,2.0,8.3,26
Schley,"103,389","103,244","101,618","102,171",149,-0.1,-1.6,0.5,110
Screven,"292,357","285,960","277,689","289,919",116,-2.2,-2.9,4.4,74
Seminole,"255,935","276,774","282,345","267,365",120,8.1,2.0,-5.3,143
Spalding,"1,840,179","1,886,397","1,856,349","1,970,684",39,2.5,-1.6,6.2,55
Stephens,"831,831","860,370","847,825","911,535",63,3.4,-1.5,7.5,35
Stewart,"112,310","122,876","122,600","120,019",144,9.4,-0.2,-2.1,131
Sumter,"957,935","974,312","948,438","928,777",61,1.7,-2.7,-2.1,130
Talbot,"128,680","121,537","132,999","122,437",142,-5.6,9.4,-7.9,153
Taliaferro,"28,289","31,118","25,236","27,038",159,10.0,-18.9,7.1,38
Tattnall,"645,521","576,376","538,352","546,290",88,-10.7,-6.6,1.5,101
Taylor,"189,448","196,694","181,557","188,755",132,3.8,-7.7,4.0,78
Telfair,"286,671","268,693","239,224","253,886",122,-6.3,-11.0,6.1,58
Terrell,"191,958","197,201","194,370","192,441",129,2.7,-1.4,-1.0,124
Thomas,"1,909,503","1,920,076","1,897,053","2,017,441",38,0.6,-1.2,6.3,49
Tift,"1,677,214","1,732,766","1,726,568","1,736,642",41,3.3,-0.4,0.6,108
Toombs,"865,787","859,188","874,434","890,694",65,-0.8,1.8,1.9,99
Towns,"318,663","341,900","318,585","339,975",110,7.3,-6.8,6.7,47
Treutlen,"91,739","91,921","93,208","86,342",152,0.2,1.4,-7.4,151
Troup,"3,143,879","3,261,226","3,172,866","3,370,484",30,3.7,-2.7,6.2,51
Turner,"179,038","198,852","194,790","179,309",134,11.1,-2.0,-7.9,154
Twiggs,"251,276","251,701","243,529","264,486",121,0.2,-3.2,8.6,23
Union,"681,352","703,237","727,223","754,907",75,3.2,3.4,3.8,81
Upson,"619,504","642,464","614,881","638,939",82,3.7,-4.3,3.9,80
Walker,"1,338,327","1,327,582","1,305,796","1,459,109",46,-0.8,-1.6,11.7,10
Walton,"2,272,267","2,408,590","2,393,280","2,588,991",34,6.0,-0.6,8.2,29
Ware,"1,296,675","1,272,678","1,195,248","1,196,985",55,-1.9,-6.1,0.1,113
Warren,"139,460","145,581","147,952","148,775",137,4.4,1.6,0.6,109
Washington,"541,936","557,973","541,524","541,183",89,3.0,-2.9,-0.1,115
Wayne,"767,829","927,245","1,009,257","982,127",59,20.8,8.8,-2.7,135
Webster,"46,448","51,294","55,630","50,313",155,10.4,8.5,-9.6,157
Wheeler,"95,152","92,673","93,969","99,456",150,-2.6,1.4,5.8,60
White,"758,713","814,734","779,039","845,818",69,7.4,-4.4,8.6,24
Whitfield,"5,265,294","5,264,271","5,127,365","5,432,339",16,0.0,-2.6,5.9,59
Wilcox,"141,195","146,534","139,824","128,782",141,3.8,-4.6,-7.9,152
Wilkes,"340,223","308,121","265,538","287,370",117,-9.4,-13.8,8.2,27
Wilkinson,"512,585","544,186","548,694","583,539",86,6.2,0.8,6.4,48
Worth,"318,895","330,745","321,186","299,768",115,3.7,-2.9,-6.7,146
,,,,,,,,,
Hawaii,"79,845,299","79,213,374","70,109,401","74,547,216",--,-0.8,-11.5,6.3,--
Hawaii,"7,740,955","7,804,436","7,044,128","7,458,530",3,0.8,-9.7,5.9,3
Honolulu,"59,317,673","58,463,852","52,576,965","55,363,444",1,-1.4,-10.1,5.3,4
Kauai,"3,675,334","3,724,382","3,142,993","3,378,463",4,1.3,-15.6,7.5,2
Maui + Kalawao,"9,102,935","9,209,126","7,347,821","8,340,310",2,1.2,-20.2,13.5,1
,,,,,,,,,
Idaho,"70,857,344","74,162,613","75,145,470","80,093,776",--,4.7,1.3,6.6,--
Ada,"24,955,953","25,901,395","26,164,023","28,597,802",1,3.8,1.0,9.3,6
Adams,"109,035","110,813","115,068","125,353",42,1.6,3.8,8.9,7
Bannock,"2,550,388","2,608,525","2,588,432","2,715,753",6,2.3,-0.8,4.9,22
Bear Lake,"164,140","170,538","172,971","172,722",39,3.9,1.4,-0.1,33
Benewah,"293,534","303,315","304,296","303,798",34,3.3,0.3,-0.2,34
Bingham,"1,177,880","1,296,183","1,309,536","1,262,474",15,10.0,1.0,-3.6,38
Blaine,"1,364,332","1,388,651","1,379,661","1,552,878",9,1.8,-0.6,12.6,2
Boise,"198,411","198,932","162,930","174,865",38,0.3,-18.1,7.3,15
Bonner,"1,359,681","1,424,869","1,440,567","1,588,335",8,4.8,1.1,10.3,5
Bonneville,"5,027,518","5,656,313","5,775,481","6,076,564",4,12.5,2.1,5.2,21
Boundary,"322,845","344,122","317,186","322,827",33,6.6,-7.8,1.8,29
Butte,"1,020,426","1,122,331","1,220,902","1,303,256",13,10.0,8.8,6.7,17
Camas,"67,479","72,218","76,891","78,444",43,7.0,6.5,2.0,28
Canyon,"5,552,732","5,944,964","6,147,816","6,660,789",2,7.1,3.4,8.3,9
Caribou,"572,776","608,021","661,609","710,609",21,6.2,8.8,7.4,13
Cassia,"1,613,657","1,578,135","1,530,663","1,507,988",10,-2.2,-3.0,-1.5,36
Clark,"48,596","45,885","44,662","38,706",44,-5.6,-2.7,-13.3,44
Clearwater,"299,185","304,510","307,223","329,878",31,1.8,0.9,7.4,14
Custer,"185,176","181,171","187,278","193,400",37,-2.2,3.4,3.3,26
Elmore,"1,228,656","1,229,482","1,207,723","1,257,183",16,0.1,-1.8,4.1,24
Franklin,"341,456","354,782","378,240","384,432",28,3.9,6.6,1.6,30
Fremont (includes Yellowstone National Park),"336,356","356,339","353,558","324,938",32,5.9,-0.8,-8.1,42
Gem,"348,169","368,711","378,880","406,060",26,5.9,2.8,7.2,16
Gooding,"1,260,115","1,371,355","1,398,070","1,374,479",11,8.8,1.9,-1.7,37
Idaho,"390,563","403,590","421,873","455,373",24,3.3,4.5,7.9,12
Jefferson,"725,411","814,264","797,150","804,426",19,12.2,-2.1,0.9,31
Jerome,"1,223,797","1,278,999","1,311,044","1,316,984",12,4.5,2.5,0.5,32
Kootenai,"5,754,147","5,874,552","6,042,537","6,553,224",3,2.1,2.9,8.5,8
Latah,"1,205,668","1,245,397","1,208,568","1,275,493",14,3.3,-3.0,5.5,19
Lemhi,"236,688","241,050","239,297","249,783",36,1.8,-0.7,4.4,23
Lewis,"139,838","144,322","146,178","162,576",40,3.2,1.3,11.2,3
Lincoln,"298,514","297,505","292,059","280,832",35,-0.3,-1.8,-3.8,39
Madison,"1,112,234","1,176,563","1,180,080","1,215,301",17,5.8,0.3,3.0,27
Minidoka,"732,288","815,691","841,876","783,475",20,11.4,3.2,-6.9,41
Nez Perce,"1,824,667","1,920,195","1,929,090","2,041,024",7,5.2,0.5,5.8,18
Oneida,"133,195","121,242","130,998","144,912",41,-9.0,8.0,10.6,4
Owyhee,"440,962","444,136","438,237","436,237",25,0.7,-1.3,-0.5,35
Payette,"724,837","777,291","767,723","810,197",18,7.2,-1.2,5.5,20
Power,"365,481","385,407","399,608","354,199",29,5.5,3.7,-11.4,43
Shoshone,"501,658","469,444","550,207","702,882",22,-6.4,17.2,27.7,1
Teton,"300,061","318,518","326,538","353,384",30,6.2,2.5,8.2,10
Twin Falls,"3,454,002","3,520,586","3,547,086","3,666,968",5,1.9,0.8,3.4,25
Valley,"439,461","458,477","459,505","496,105",23,4.3,0.2,8.0,11
